"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Mark","Dam","LGR","5/11/2018 11:38:02 AM","NA","0","LGRRBR","5/12/2018 9:00:00 AM","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/18/2021 8:46:10 AM","01","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/18/2021 8:46:39 AM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/18/2021 11:08:17 AM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/18/2021 1:26:32 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/18/2021 1:49:47 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/18/2021 1:54:49 PM","01","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/18/2021 6:51:35 PM","01","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/18/2021 6:52:11 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/18/2021 7:28:30 PM","04","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/18/2021 7:28:31 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/18/2021 7:30:31 PM","01","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 6:16:51 PM","01","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 6:50:51 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 7:32:31 PM","01","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 7:32:36 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 7:51:10 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 7:54:30 PM","02","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 7:57:46 PM","01","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 7:57:51 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 8:05:47 PM","04","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 8:07:43 PM","02","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 8:11:34 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 8:23:08 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 8:44:58 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 8:56:18 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 8:59:59 PM","01","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 9:15:47 PM","01","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 9:15:54 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 9:19:03 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 9:19:40 PM","01","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 10:06:47 PM","01","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 10:06:54 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 10:15:56 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 10:17:19 PM","04","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 10:26:19 PM","04","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 10:28:07 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 10:42:40 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 10:42:40 PM","04","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/26/2021 10:45:35 PM","01","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 12:15:13 AM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 12:54:32 AM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 12:55:58 AM","02","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 2:32:10 AM","02","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 2:32:17 AM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 2:38:38 AM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 2:43:18 AM","01","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 3:51:47 AM","02","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 3:51:54 AM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 3:51:54 AM","04","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 4:05:02 AM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 4:08:41 AM","01","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 4:30:49 AM","01","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 4:30:58 AM","04","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 4:36:43 AM","04","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 4:36:59 AM","02","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 7:32:56 PM","01","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 7:33:03 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 8:38:25 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 8:40:34 PM","01","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 8:51:58 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 9:36:40 PM","04","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 9:37:48 PM","02","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 10:49:50 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 10:57:02 PM","04","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 10:57:48 PM","03","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 11:29:07 PM","04","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/27/2021 11:29:55 PM","02","120","","","1"
"3D9.1BF279C469","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","ACB","4/28/2021 12:00:47 AM","02","120","","","1"
