Tag Code,GEORGC,ACBDA,ACBUA,CCADA,CCAMA,CCAUA,AFCDA,AFCSA,AFCNA
3D9.1BF279C469,0,1,1,0,0,0,0,0,0
3D9.1BF27A863E,0,1,1,0,0,0,1,1,0
3DD.003D492E6D,0,1,1,0,0,0,1,0,1
3DD.003D492E8C,0,1,1,0,0,0,0,0,0
3DD.003D493204,0,1,1,0,0,0,0,0,0
3DD.003D4934A3,0,1,1,0,0,0,0,0,0
3DD.003D49370A,0,1,1,0,0,0,1,0,1
3DD.003D493BD2,0,1,1,0,0,0,1,0,1
3DD.003D4951ED,0,1,1,0,0,0,1,0,1
3DD.007747F556,0,1,1,0,0,0,0,0,0
3DD.007747FB47,0,1,1,0,0,0,0,0,0
3DD.00774808B4,0,1,1,0,0,0,1,0,1
3DD.0077482DFB,0,1,1,0,0,0,1,1,0
3DD.0077486BBB,0,1,1,0,0,0,0,0,0
3DD.0077487045,0,1,1,0,0,0,1,0,1
3DD.007748A1D0,0,1,1,0,0,0,1,1,0
3DD.007748B567,0,1,1,0,0,0,0,0,0
3DD.007748C0A0,0,1,1,0,0,0,0,0,0
3DD.007748C18D,0,1,1,0,0,0,1,1,1
3DD.007748FA3A,0,1,1,0,0,0,0,0,0
3DD.007748FA84,0,1,1,0,0,0,1,0,1
3DD.007748FC56,0,1,1,0,0,0,1,0,1
3DD.007748FE25,0,1,1,0,0,0,0,0,0
3DD.007748FF6E,0,1,1,0,0,0,1,1,1
3DD.0077490330,0,1,1,0,0,0,1,0,1
3DD.0077490890,0,1,1,0,0,0,1,0,1
3DD.0077490902,0,1,1,0,0,0,0,0,0
3DD.00774911CC,0,1,1,0,0,0,1,1,0
3DD.0077491A08,0,1,1,0,0,0,1,0,1
3DD.0077491A25,0,1,1,0,0,0,0,0,0
3DD.0077492134,0,1,1,0,0,0,0,0,0
3DD.0077492141,0,1,1,0,0,0,1,0,1
3DD.0077492696,0,1,1,0,0,0,0,0,0
3DD.00774926CF,0,1,1,0,0,0,0,0,0
3DD.0077492C9E,0,1,1,0,0,0,0,0,0
3DD.0077492DE4,0,1,1,0,0,0,1,0,1
3DD.0077492EDE,0,1,1,0,0,0,0,0,0
3DD.0077492F5A,0,1,1,0,0,0,0,0,0
3DD.00774934DD,0,1,1,0,0,0,1,1,0
3DD.0077493AF5,0,1,1,0,0,0,0,0,0
3DD.0077493BF4,0,1,1,0,0,0,0,0,0
3DD.0077493F4B,0,1,1,0,0,0,0,0,0
3DD.007749502A,0,1,1,0,0,0,0,0,0
3DD.0077495589,0,1,1,0,0,0,0,0,0
3DD.007749566B,0,1,1,0,0,0,0,0,0
3DD.007749698A,0,1,1,0,0,0,0,0,0
3DD.0077496AA8,0,1,1,0,0,0,0,0,0
3DD.007749719B,0,1,1,0,0,0,1,0,1
3DD.0077497360,0,1,1,0,0,0,0,0,0
3DD.00774973F7,0,1,1,0,0,0,1,1,1
3DD.0077497F3A,0,1,1,0,0,0,1,0,1
3DD.0077498250,0,1,1,0,0,0,1,0,1
3DD.0077498251,0,1,1,0,0,0,1,0,1
3DD.0077498331,0,1,1,0,0,0,1,0,1
3DD.0077498A31,0,1,1,0,0,0,1,0,1
3DD.0077498A34,0,1,1,0,0,0,1,0,1
3DD.0077498C1F,0,1,1,0,0,0,0,0,0
3DD.00774991EF,0,1,1,0,0,0,0,0,0
3DD.0077499315,0,1,1,0,0,0,0,0,0
3DD.007761A42C,0,1,1,0,0,0,0,0,0
3DD.0077AFF376,0,1,1,0,0,0,1,0,1
3DD.0077C6F4E7,0,1,1,0,0,0,1,0,1
FAKE,1,0,0,0,0,0,0,0,0
FAKE,0,1,1,1,1,1,0,0,0
